anio,mes,total_exportacion_usd,prod_pri_exportacion_usd,origen_agro,origen_ind,combustible_y_energia,departamento_nombre
2022,noviembre,12989352.18,0.0,133645.39,637582.58,12218124.21,Río Grande
2022,diciembre,23623261.49,0.0,284036.84,1515073.08,21824151.57,Río Grande
2023,enero,7263452.2,0.0,197053.73,1282376.55,5784021.92,Río Grande
2023,febrero,19942940.56,0.0,141097.97,1616906.44,18184936.15,Río Grande
2023,marzo,31504234.43,0.0,186264.5,2675280.28,28642689.65,Río Grande
2023,abril,14255960.97,0.0,151814.85,4287091.7,9817054.42,Río Grande
2023,mayo,16583462.0,0.0,143484.52,4820294.47,11619683.45,Río Grande
2023,junio,14978351.0,0.0,123733.03,4686470.17,10168147.46,Río Grande
2023,julio,16656442.0,0.0,86274.59,4566220.93,12003946.7,Río Grande
2023,agosto,11129455.0,0.0,108309.5,3305196.7,7715948.97,Río Grande
2023,septiembre,6526163.0,0.0,102652.78,900604.04,5522906.51,Río Grande
2023,octubre,16596759.0,0.0,50687.1,84657.0,16461415.35,Río Grande
2023,noviembre,22117394.0,0.0,75579.02,554024.7,21487790.02,Río Grande
2023,diciembre,11636314.5,0.0,109362.24,594269.39,10932682.87,Río Grande
